,mois,article,produit,origine_encoded,provenance_encoded,importateur_encoded,bureau_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,mois_risk_score,article_risk_score,produit_risk_score,origine_risk_score,provenance_risk_score,bureau_risk_score,commissionnaire_risk_score,regime_risk_score,importateur_risk_score,risk_score,risk_category
0,1,1,8703332000,24,24,1247,1814,38,67,1,0.0,0.27293228208464887,0.27804467446485487,0.4275888792466406,0.39167775285512035,0.4553696266792134,0.2604228092888899,0.20050848958862072,0.1879192464594606,0.1719410200208026,0.1719410200208026,1
1,7,1,0,96,93,3071,1019,160,45,1,0.2906976744186046,0.2857933327076631,0.27804467446485487,0.24159666671098085,0.2040759264854028,0.32718005590667154,0.2583030509261227,0.5267138020601038,0.17655071735261318,0.5267138020601038,0.127601103951141,1
2,7,1,0,21,21,1084,1019,198,67,1,0.0116279069767441,0.2857933327076631,0.27804467446485487,0.24159666671098085,0.20289872607191847,0.19299397388060732,0.2583030509261227,0.1341753770341279,0.1879192464594606,0.09877901546124908,0.1741766172633932,1
3,1,1,0,66,66,401,1814,28,3,1,0.0,0.27293228208464887,0.27804467446485487,0.24159666671098085,0.2685194150639591,0.33229865510665707,0.2604228092888899,0.2945437354865479,0.4242028003666307,0.1532281189856386,0.1532281189856386,1
4,1,1,8703332000,53,11,1108,1814,83,3,0,0.0610465116279069,0.27293228208464887,0.27804467446485487,0.4275888792466406,0.6356971447654641,0.5074783473996903,0.2604228092888899,0.19583225783025182,0.4242028003666307,0.36678554570130845,0.6878872849216655,2
5,1,1,8704212000,53,11,178,1814,78,3,0,1.0,0.27293228208464887,0.27804467446485487,0.455177603283403,0.6356971447654641,0.5074783473996903,0.2604228092888899,0.6355205545512287,0.4242028003666307,0.6598540868293095,0.702241272911375,3
6,11,2,2709000000,70,93,2367,1312,21,74,0,0.0116279069767441,0.2749676909501484,0.27614081478264607,0.5521119093143658,0.5459652109875405,0.32718005590667154,0.5134400144487026,0.5568598136764386,0.5555205282504428,0.5968571949171924,0.5777361144842417,2
7,11,1,2710192100,85,93,502,1312,21,9,0,0.0203488372093023,0.2749676909501484,0.27804467446485487,0.48790640742564173,0.5506614360425791,0.32718005590667154,0.5134400144487026,0.5568598136764386,0.5653258417035021,0.5812208152563983,0.4942385982985395,2
8,2,2,0,21,21,1399,1814,181,73,1,0.0755813953488372,0.2551444292685083,0.27614081478264607,0.24159666671098085,0.20289872607191847,0.19299397388060732,0.2604228092888899,0.1898966092813543,0.23864843258751667,0.1898966092813543,0.1242197917234625,1
9,7,2,0,21,21,1084,1019,198,67,1,0.0116279069767441,0.2857933327076631,0.27614081478264607,0.24159666671098085,0.20289872607191847,0.19299397388060732,0.2583030509261227,0.1341753770341279,0.1879192464594606,0.09877901546124908,0.0455821797557692,1
10,2,1,8701202000,35,11,2139,1814,230,67,0,0.0,0.2551444292685083,0.27804467446485487,0.3503214711948054,0.2560020310752914,0.5074783473996903,0.2604228092888899,0.33500565863267184,0.1879192464594606,0.5646271813551615,0.5646271813551615,2
